locus_tag,product,protein_id
BHE81_RS27620,MFS transporter,WP_001549953.1
BHE81_RS27625,universal stress protein,WP_004118529.1
BHE81_RS27630,SulP family inorganic anion transporter,WP_001549885.1
BHE81_RS27635,metalloregulator ArsR/SmtB family transcription factor,WP_001549886.1
BHE81_RS27640,arsenic transporter,WP_001549887.1
BHE81_RS27645,glutaredoxin-dependent arsenate reductase,WP_046624034.1
BHE81_RS27650,arsenical resistance protein ArsH,WP_025801347.1
BHE81_RS27655,ArsR/SmtB family transcription factor,WP_001549890.1
BHE81_RS28950,phospholipase D family protein,
BHE81_RS27665,hypothetical protein,WP_009309887.1
BHE81_RS27670,DUF2726 domain-containing protein,WP_009309886.1
BHE81_RS27675,hypothetical protein,WP_009309885.1
BHE81_RS27680,DUF6404 family protein,WP_009309884.1
BHE81_RS27685,fertility inhibition protein FinO,WP_009309883.1
BHE81_RS27690,type-F conjugative transfer system pilin acetylase TraX,WP_009309882.1
BHE81_RS27695,conjugative transfer relaxase/helicase TraI,WP_149888862.1
BHE81_RS27700,type IV conjugative transfer system coupling protein TraD,WP_023313941.1
BHE81_RS27705,ISNCY family transposase,WP_077254682.1
BHE81_RS27710,tetratricopeptide repeat protein,WP_004187050.1
BHE81_RS27715,hypothetical protein,WP_181949134.1
BHE81_RS27720,hypothetical protein,WP_110246712.1
BHE81_RS27725,AAA family ATPase,WP_153938132.1
BHE81_RS27730,tyrosine-type recombinase/integrase,WP_004187061.1
BHE81_RS27735,NAD(P)H-dependent oxidoreductase,
BHE81_RS27740,transcriptional regulator,WP_026005941.1
BHE81_RS27745,arsenic transporter,WP_004187067.1
BHE81_RS27750,glutaredoxin-dependent arsenate reductase,WP_032415024.1
BHE81_RS27760,IS5-like element IS903B family transposase,WP_172622142.1
BHE81_RS27765,IS5 family transposase,WP_032415021.1
BHE81_RS28955,S1C family serine protease,WP_228268730.1
BHE81_RS28960,S1C family serine protease,WP_228268731.1
BHE81_RS27775,zinc metalloprotease HtpX,WP_032238623.1
BHE81_RS27780,heat resistance protein PsiE-GI,WP_001514138.1
BHE81_RS27785,heat resistance system K+/H+ antiporter KefB-GI,WP_149888863.1
BHE81_RS27790,heat resistance system thioredoxin Trx-GI,WP_000786815.1
BHE81_RS27795,hypothetical protein,WP_023329027.1
BHE81_RS27800,heat resistance membrane protein HdeD-GI,WP_023329026.1
BHE81_RS27805,heat resistance protein YfdX2,WP_013307890.1
BHE81_RS27810,heat resistance protein YfdX1,WP_032415013.1
BHE81_RS27815,small heat shock protein sHSP20-GI,WP_004118198.1
BHE81_RS28465,hypothetical protein,WP_162556896.1
BHE81_RS27820,ATP-dependent metallopeptidase FtsH/Yme1/Tma family protein,
BHE81_RS27825,hypothetical protein,WP_001446316.1
BHE81_RS27830,heat shock survival AAA family ATPase ClpK,WP_032415010.1
BHE81_RS27835,small heat shock protein sHSP20,WP_000350436.1
BHE81_RS27840,helix-turn-helix domain-containing protein,WP_004118205.1
BHE81_RS27845,hypothetical protein,WP_004118208.1
BHE81_RS27850,transposase,WP_004118209.1
BHE81_RS27855,transposase domain-containing protein,
BHE81_RS29205,hypothetical protein,WP_223602332.1
BHE81_RS28470,hypothetical protein,WP_013023831.1
BHE81_RS27870,conjugal transfer mating-pair stabilization protein TraG,WP_149888864.1
BHE81_RS27875,conjugal transfer protein TraH,WP_172622158.1
BHE81_RS27880,conjugal transfer protein TraN,WP_149888865.1
BHE81_RS27885,type-F conjugative transfer system pilin assembly protein TraF,WP_004152677.1
BHE81_RS27890,conjugal transfer protein TraQ,
BHE81_RS00015,hypothetical protein,WP_002887322.1
BHE81_RS00020,ABC transporter permease,WP_023343053.1
BHE81_RS00025,ribosome-associated ATPase/putative transporter RbbA,WP_023343054.1
BHE81_RS00030,HlyD family secretion protein,WP_023343055.1
BHE81_RS00035,tryptophan--tRNA ligase,WP_023343056.1
BHE81_RS00040,autoinducer 2 ABC transporter substrate-binding protein,WP_002887349.1
BHE81_RS00045,sugar ABC transporter ATP-binding protein,WP_016946160.1
BHE81_RS00050,ABC transporter permease,WP_023343057.1
BHE81_RS00055,ABC transporter permease,WP_002887352.1
BHE81_RS00060,NAD(P)H-dependent oxidoreductase,WP_004177550.1
BHE81_RS00065,LysR family transcriptional regulator,WP_149888777.1
BHE81_RS00070,fosfomycin resistance glutathione transferase FosA10,WP_004214174.1
BHE81_RS28515,restriction endonuclease subunit R,
BHE81_RS00075,5'-nucleotidase,WP_023343058.1
BHE81_RS00080,PLP-dependent aminotransferase family protein,WP_002887384.1
BHE81_RS00085,DUF1127 domain-containing protein,WP_002887388.1
BHE81_RS00090,MarR family winged helix-turn-helix transcriptional regulator,WP_004177547.1
BHE81_RS00095,HlyD family secretion protein,WP_002887394.1
BHE81_RS00100,DUF2955 domain-containing protein,WP_002887411.1
BHE81_RS00105,DUF3343 domain-containing protein,WP_004177546.1
BHE81_RS00110,putative 2-hydroxyacyl-CoA dehydratase activator YjiL,WP_002887413.1
BHE81_RS00115,double-cubane-cluster-containing anaerobic reductase,WP_002887414.1
BHE81_RS00120,DUF2164 domain-containing protein,WP_002887416.1
BHE81_RS00125,multidrug efflux MFS transporter MdtM,WP_004146110.1
BHE81_RS00130,DUF445 domain-containing protein,WP_023343059.1
BHE81_RS00135,LysE family translocator,WP_110246422.1
BHE81_RS00140,AraC family transcriptional regulator,WP_019705891.1
BHE81_RS00145,Rpn family recombination-promoting nuclease/putative transposase,WP_023343060.1
BHE81_RS00150,NAD-dependent succinate-semialdehyde dehydrogenase,WP_023302448.1
BHE81_RS00155,hypothetical protein,WP_016160232.1
BHE81_RS00160,YfaZ family outer membrane protein,WP_073545770.1
BHE81_RS00165,GTPase,WP_023302449.1
BHE81_RS00170,YbdD/YjiX family protein,WP_002887451.1
BHE81_RS00175,carbon starvation CstA family protein,WP_008807580.1
BHE81_RS00180,hypothetical protein,WP_008807579.1
BHE81_RS00185,transcriptional regulator,WP_074183194.1
BHE81_RS00190,4-hydroxyphenylacetate 3-monooxygenase reductase subunit,WP_002887467.1
BHE81_RS00195,4-hydroxyphenylacetate 3-monooxygenase%2C oxygenase component,WP_002887473.1
BHE81_RS00200,4-hydroxyphenylacetate catabolism regulatory protein HpaA,WP_023302451.1
BHE81_RS00205,4-hydroxyphenylacetate permease,WP_004222447.1
BHE81_RS00210,4-hydroxy-2-oxoheptanedioate aldolase,WP_023302452.1
BHE81_RS00215,2-oxo-hept-4-ene-1%2C7-dioate hydratase,WP_002887487.1
BHE81_RS00220,5-carboxymethyl-2-hydroxymuconate Delta-isomerase,WP_004151392.1
BHE81_RS00225,3%2C4-dihydroxyphenylacetate 2%2C3-dioxygenase,WP_004178507.1
BHE81_RS00230,5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase,WP_002887494.1
BHE81_RS00235,fumarylacetoacetate hydrolase family protein,WP_023343062.1
BHE81_RS00240,fumarylacetoacetate hydrolase family protein,WP_023343063.1
BHE81_RS27965,hypothetical protein,
BHE81_RS00245,homoprotocatechuate degradation operon regulator HpaR,WP_002887503.1
BHE81_RS28520,hypothetical protein,
BHE81_RS00260,Ldh family oxidoreductase,WP_032414121.1
BHE81_RS00265,amino acid deaminase,WP_023343066.1
BHE81_RS00270,hypothetical protein,WP_009485350.1
BHE81_RS00275,N-acyl-D-amino-acid deacylase family protein,WP_002887553.1
BHE81_RS00280,RidA family protein,WP_004177530.1
BHE81_RS00285,sodium:solute symporter family protein,WP_004182852.1
BHE81_RS00290,2-dehydro-3-deoxygalactonokinase,WP_004177528.1
BHE81_RS00295,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,WP_004177527.1
BHE81_RS00300,MurR/RpiR family transcriptional regulator,WP_004177525.1
BHE81_RS00305,GNAT family N-acetyltransferase,WP_002887560.1
BHE81_RS00310,GNAT family N-acetyltransferase,WP_004177523.1
BHE81_RS00315,sigma 54-interacting transcriptional regulator,WP_023343067.1
BHE81_RS00320,PTS sugar transporter subunit IIA,WP_004177518.1
BHE81_RS00325,PTS sugar transporter subunit IIB,WP_004177515.1
BHE81_RS00330,PTS mannose/fructose/sorbose/N-acetylgalactosamine transporter subunit IIC,WP_004177513.1
BHE81_RS00335,PTS system mannose/fructose/sorbose family transporter subunit IID,WP_004146068.1
BHE81_RS00340,SIS domain-containing protein,WP_004888694.1
BHE81_RS00345,SIS domain-containing protein,WP_015959384.1
BHE81_RS00350,Rpn family recombination-promoting nuclease/putative transposase,WP_016831532.1
BHE81_RS00355,phosphatidylglycerol--membrane-oligosaccharide glycerophosphotransferase,WP_004222503.1
BHE81_RS00360,DUF2501 domain-containing protein,WP_023343070.1
BHE81_RS00365,DNA replication protein DnaC,WP_002887623.1
BHE81_RS00370,primosomal protein DnaT,WP_002887624.1
BHE81_RS00375,threonine/serine exporter,WP_002887631.1
BHE81_RS00380,threonine/serine ThrE exporter family protein,WP_004146059.1
BHE81_RS00385,4-hydroxybenzoate 3-monooxygenase,
BHE81_RS00390,helix-turn-helix domain-containing protein,WP_002887643.1
BHE81_RS00395,helix-turn-helix transcriptional regulator,WP_002887645.1
BHE81_RS00400,DNA-binding transcriptional activator BglJ,WP_002887647.1
BHE81_RS00405,YbaK/EbsC family protein,WP_004151383.1
BHE81_RS00410,PTS cellobiose transporter subunit IIC,WP_002887650.1
BHE81_RS00415,siderophore-iron reductase FhuF,WP_002887652.1
BHE81_RS00420,GGDEF domain-containing protein,WP_002887653.1
BHE81_RS27980,hypothetical protein,
BHE81_RS00425,DUF1435 domain-containing protein,WP_002887654.1
BHE81_RS00435,16S rRNA (guanine(1207)-N(2))-methyltransferase RsmC,WP_004177499.1
BHE81_RS00440,DNA polymerase III subunit psi,WP_023343071.1
BHE81_RS00445,ribosomal protein S18-alanine N-acetyltransferase,WP_021441160.1
BHE81_RS00450,pyrimidine 5'-nucleotidase,WP_004146044.1
BHE81_RS00455,peptide chain release factor 3,WP_002887711.1
BHE81_RS00460,molecular chaperone OsmY,WP_004146042.1
BHE81_RS00465,DUF1328 domain-containing protein,WP_002887716.1
BHE81_RS00470,patatin-like phospholipase family protein,WP_004146038.1
BHE81_RS00475,metal-dependent hydrolase,WP_004192101.1
BHE81_RS00480,NupC/NupG family nucleoside CNT transporter,WP_023343072.1
BHE81_RS00485,deoxyribose-phosphate aldolase,WP_002887784.1
BHE81_RS00490,thymidine phosphorylase,WP_020802798.1
BHE81_RS00495,phosphopentomutase,WP_004151380.1
BHE81_RS00500,purine-nucleoside phosphorylase,WP_002887789.1
BHE81_RS00505,lipoate--protein ligase LplA,WP_002887791.1
BHE81_RS00510,YtjB family periplasmic protein,WP_002887794.1
BHE81_RS00515,phosphoserine phosphatase,WP_004146029.1
BHE81_RS00520,DNA repair protein RadA,WP_002887800.1
BHE81_RS00525,multifunctional transcriptional regulator/nicotinamide-nucleotide adenylyltransferase/ribosylnicotinamide kinase NadR,WP_002887802.1
BHE81_RS00530,energy-dependent translational throttle protein EttA,WP_002887805.1
BHE81_RS00535,murein transglycosylase,WP_004182874.1
BHE81_RS00540,trp operon repressor,WP_002887809.1
BHE81_RS00545,inosine/xanthosine triphosphatase,WP_002887810.1
BHE81_RS00550,2%2C3-diphosphoglycerate-dependent phosphoglycerate mutase GpmB,WP_002887811.1
BHE81_RS00555,MDR efflux pump AcrAB transcriptional activator RobA,WP_002887812.1
BHE81_RS00560,protein CreA,WP_002887814.1
BHE81_RS00565,two-component system response regulator CreB,WP_002887820.1
BHE81_RS00570,two-component system sensor histidine kinase CreC,WP_023343073.1
BHE81_RS00575,cell envelope integrity protein CreD,WP_004214415.1
BHE81_RS00580,two-component system response regulator ArcA,WP_002887843.1
BHE81_RS00585,protein YjjY,WP_004146984.1
BHE81_RS00590,tRNA/rRNA methyltransferase,WP_004182880.1
BHE81_RS00595,thr operon leader peptide,WP_004222578.1
BHE81_RS00600,bifunctional aspartate kinase/homoserine dehydrogenase I,WP_002887848.1
BHE81_RS00605,homoserine kinase,WP_023343007.1
BHE81_RS00610,threonine synthase,WP_002887863.1
BHE81_RS00615,hypothetical protein,WP_002887866.1
BHE81_RS00620,peroxide stress protein YaaA,WP_004178561.1
BHE81_RS00625,alanine/glycine:cation symporter family protein,WP_002887871.1
BHE81_RS00630,transaldolase,WP_002887897.1
BHE81_RS00635,molybdopterin adenylyltransferase,WP_002887898.1
BHE81_RS00640,MFS transporter,WP_002887901.1
BHE81_RS00645,acetate uptake transporter,WP_004177461.1
BHE81_RS00650,acidic protein MsyB,WP_004146011.1
BHE81_RS00655,DUF2541 family protein,WP_023343005.1
BHE81_RS00660,molecular chaperone DnaK,WP_004146997.1
BHE81_RS00665,molecular chaperone DnaJ,WP_002887955.1
BHE81_RS00670,Na+/H+ antiporter NhaA,WP_004192071.1
BHE81_RS00675,transcriptional activator NhaR,WP_002887961.1
BHE81_RS00680,30S ribosomal protein S20,WP_002887965.1
BHE81_RS28525,DUF2575 domain-containing protein,
BHE81_RS00690,bifunctional riboflavin kinase/FAD synthetase,WP_002887969.1
BHE81_RS00695,isoleucine--tRNA ligase,WP_004212580.1
BHE81_RS00700,signal peptidase II,WP_002887973.1
BHE81_RS00705,FKBP-type peptidyl-prolyl cis-trans isomerase,WP_002887976.1
BHE81_RS00710,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,WP_002887979.1
BHE81_RS00715,ribonucleoside hydrolase RihC,WP_004212577.1
BHE81_RS00720,DUF805 domain-containing protein,WP_004182898.1
BHE81_RS00725,LysR family transcriptional regulator,WP_004182899.1
BHE81_RS00730,hypothetical protein,WP_012737385.1
BHE81_RS00735,response regulator,WP_004222618.1
BHE81_RS00740,ATP-binding protein,WP_004151379.1
BHE81_RS00745,oxalacetate decarboxylase subunit beta,WP_110246427.1
BHE81_RS00750,sodium-extruding oxaloacetate decarboxylase subunit alpha,WP_020802797.1
BHE81_RS00755,oxaloacetate decarboxylase subunit gamma,WP_004151376.1
BHE81_RS00760,citrate/sodium symporter CitS,WP_004151375.1
BHE81_RS00765,[citrate (pro-3S)-lyase] ligase,WP_032428213.1
BHE81_RS00770,citrate lyase acyl carrier protein,WP_004151373.1
BHE81_RS00775,citrate (pro-3S)-lyase subunit beta,WP_004151372.1
BHE81_RS00780,citrate lyase subunit alpha,WP_023343003.1
BHE81_RS00785,triphosphoribosyl-dephospho-CoA synthase CitG,WP_004222628.1
BHE81_RS00790,4-hydroxy-tetrahydrodipicolinate reductase,WP_004151369.1
BHE81_RS00795,glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit,WP_004212571.1
BHE81_RS00800,carbamoyl-phosphate synthase large subunit,WP_002888056.1
BHE81_RS00805,YgdI/YgdR family lipoprotein,WP_002888059.1
BHE81_RS00810,glutathione-regulated potassium-efflux system oxidoreductase KefF,WP_002888068.1
BHE81_RS00815,glutathione-regulated potassium-efflux system protein KefC,
BHE81_RS00820,type 3 dihydrofolate reductase,WP_002888320.1
BHE81_RS00825,bis(5'-nucleosyl)-tetraphosphatase (symmetrical) ApaH,WP_004177431.1
BHE81_RS00830,Co2+/Mg2+ efflux protein ApaG,WP_002888323.1
BHE81_RS00835,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA,WP_002888324.1
BHE81_RS00840,4-hydroxythreonine-4-phosphate dehydrogenase PdxA,WP_023343000.1
BHE81_RS00845,peptidylprolyl isomerase SurA,WP_002888329.1
BHE81_RS00850,LPS assembly protein LptD,WP_004147026.1
BHE81_RS00855,co-chaperone DjlA,WP_002888332.1
BHE81_RS00860,response regulator,WP_002888337.1
BHE81_RS00865,ATP-binding protein,WP_023302315.1
BHE81_RS00870,2-hydroxycarboxylate transporter family protein,WP_002888345.1
BHE81_RS00875,citrate lyase holo-[acyl-carrier protein] synthase,WP_002888347.1
BHE81_RS00880,bifunctional tRNA pseudouridine(32) synthase/23S rRNA pseudouridine(746) synthase RluA,WP_004177427.1
BHE81_RS00885,RNA polymerase-associated protein RapA,WP_004178574.1
BHE81_RS00890,DNA polymerase II,WP_023342999.1
BHE81_RS00895,L-ribulose-5-phosphate 4-epimerase,WP_016531719.1
BHE81_RS00900,L-arabinose isomerase,WP_004177424.1
BHE81_RS00905,ribulokinase,WP_023342998.1
BHE81_RS00910,arabinose operon transcriptional regulator AraC,WP_004145972.1
BHE81_RS00915,DedA family protein,WP_002888373.1
BHE81_RS00920,thiamine ABC transporter ATP-binding protein ThiQ,WP_023342997.1
BHE81_RS00925,thiamine/thiamine pyrophosphate ABC transporter permease ThiP,WP_004147039.1
BHE81_RS00930,thiamine ABC transporter substrate binding subunit,WP_004147041.1
BHE81_RS00935,HTH-type transcriptional regulator SgrR,WP_004145968.1
BHE81_RS00940,glucose uptake inhibitor SgrT,WP_002888448.1
BHE81_RS00945,sugar efflux transporter,WP_023342995.1
BHE81_RS00950,MFS transporter,WP_023279289.1
BHE81_RS00955,LysR family transcriptional regulator,WP_002888455.1
BHE81_RS00960,type I 3-dehydroquinate dehydratase,WP_004177420.1
BHE81_RS00965,MFS transporter,WP_073545777.1
BHE81_RS00970,shikimate dehydrogenase,WP_002888460.1
BHE81_RS00975,FAD-dependent oxidoreductase,WP_032738430.1
BHE81_RS00980,3-isopropylmalate dehydratase small subunit,WP_002888481.1
BHE81_RS00985,3-isopropylmalate dehydratase large subunit,WP_004177417.1
BHE81_RS00990,3-isopropylmalate dehydrogenase,WP_002888487.1
BHE81_RS00995,2-isopropylmalate synthase,WP_023342994.1
BHE81_RS01000,leu operon leader peptide,WP_004222662.1
BHE81_RS01005,transcriptional regulator LeuO,WP_004192013.1
BHE81_RS01015,acetolactate synthase 3 large subunit,WP_002888534.1
BHE81_RS01020,acetolactate synthase small subunit,WP_002888536.1
BHE81_RS01025,catabolite repressor/activator,WP_004145952.1
BHE81_RS01030,division/cell wall cluster transcriptional repressor MraZ,WP_002888541.1
BHE81_RS01035,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH,WP_002888547.1
BHE81_RS01040,cell division protein FtsL,WP_002888550.1
BHE81_RS01045,peptidoglycan glycosyltransferase FtsI,WP_002888559.1
BHE81_RS01050,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase,WP_004182923.1
BHE81_RS01055,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,WP_004177411.1
BHE81_RS01060,phospho-N-acetylmuramoyl-pentapeptide-transferase,WP_002888562.1
BHE81_RS01065,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,WP_020802810.1
BHE81_RS01070,cell division protein FtsW,WP_002888565.1
BHE81_RS01075,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase,WP_002888566.1
BHE81_RS01080,UDP-N-acetylmuramate--L-alanine ligase,WP_004145947.1
BHE81_RS01085,D-alanine--D-alanine ligase,WP_002888623.1
BHE81_RS01090,cell division protein FtsQ,WP_002888624.1
BHE81_RS01095,cell division protein FtsA,WP_002888625.1
BHE81_RS01100,cell division protein FtsZ,WP_002888628.1
BHE81_RS01105,UDP-3-O-acyl-N-acetylglucosamine deacetylase,WP_002888632.1
BHE81_RS01110,secA translation cis-regulator SecM,WP_002888635.1
BHE81_RS01115,preprotein translocase subunit SecA,WP_002888638.1
BHE81_RS01120,8-oxo-dGTP diphosphatase MutT,WP_004145942.1
BHE81_RS01125,DNA gyrase inhibitor YacG,WP_002888644.1
BHE81_RS01130,cell division protein ZapD,WP_023302307.1
BHE81_RS01135,dephospho-CoA kinase,WP_004145940.1
